GUBUN,GUBUN_NM,SWMN_CODE,SWMN_NM,LAT,LON,ADRES,INSTT
S,상수원구간,2020G33,낙동강(칠서),35.382056,128.482194,경상남도 함안군 칠서면 계내리,낙동강물환경센터
S,상수원구간,1007G20,한강(이천),37.272528,127.686917,경기도 여주시 단현동,한강통합물환경센터
S,상수원구간,3008G50,대청호(문의),36.508008,127.501975,충청북도 청주시 상당구 문의면 문산리,금강물환경센터
S,상수원구간,3008G30,대청호(회남),36.431817,127.552433,충청북도 보은군 회남면 사음리,금강물환경센터
S,상수원구간,1003G40,충주호(댐앞),37.0007,127.996497,충청북도 충주시 종민동,원주지방환경청
S,상수원구간,4007G40,주암호(신평교),35.013992,127.233086,전남광주통합특별시 순천시 송광면 신평리,영산강물환경센터
S,상수원구간,2021G20,운문호(댐앞),35.723528,128.916722,경상북도 청도군 운문면 대천리,대구지방환경청
S,상수원구간,2021G10,운문호(취수탑2),35.730472,128.915556,경상북도 청도군 운문면 대천리,대구지방환경청
S,상수원구간,3001G20,용담호(취수탑),35.936692,127.4812,전북특별자치도 진안군 정천면 모정리,전북지방환경청
S,상수원구간,4007G60,동복호(취수탑),35.091167,127.098917,전남광주통합특별시 화순군 이서면 월산리,광주시 상수도사업본부
S,상수원구간,2012G20,영천호(취수탑),36.070192,129.021722,경상북도 영천시 자양면 성곡리,대구지방환경청
S,상수원구간,2018G20,진양호(내동),35.149339,128.020003,경상남도 진주시 내동면 내평리,낙동강유역환경청
S,상수원구간,2101G30,안계호(취수탑),36.010219,129.267744,경상북도 경주시 강동면 안계리,대구지방환경청
S,상수원구간,2012G55,공산지(중앙부),35.942667,128.652083,대구광역시 동구 지묘동,대구시 상수도사업본부
S,상수원구간,1101G10,광교지(취수탑),37.303619,127.028933,경기도 수원시 장안구 하광교동,경기도 보건환경연구원
S,상수원구간,1010G60,춘천호(춘성교 교각),37.968694,127.668806,강원특별자치도 춘천시 서면 오월리,춘천시
S,상수원구간,4002G10,옥정호(칠보취수구),35.599494,126.996125,전북특별자치도 임실군 강진면 용수리,전북지방환경청
S,상수원구간,2101G70,진전지(상류),35.888164,129.397647,경상북도 포항시 남구 오천읍 진전리,경상북도 보건환경연구원
S,상수원구간,2101G71,진전지(하류),35.89995,129.404067,경상북도 포항시 남구 오천읍 진전리,경상북도 보건환경연구원
S,상수원구간,1018G02,한강(강동대교),37.578056,127.161667,경기도 구리시 토평동,서울특별시 서울물연구원
S,상수원구간,1018G04,한강(잠실철교),37.529111,127.098944,서울특별시 송파구 신천동,서울특별시 서울물연구원
S,상수원구간,1018G05,한강(광진교),37.544972,127.113139,서울특별시 강동구 천호동,서울특별시 서울물연구원
S,상수원구간,2201G40,사연호(취수탑),35.580889,129.194992,울산광역시 울주군 범서읍 사연리,낙동강유역환경청
S,상수원구간,2201G30,사연호(반연리),35.586689,129.186494,울산광역시 울주군 언양읍 반연리,낙동강유역환경청
S,상수원구간,2301G20,회야호(취수탑),35.472619,129.2818,울산광역시 울주군 청량읍,울산시 상수도사업본부
S,상수원구간,2301G10,회야호(여수로),35.471714,129.273606,울산광역시 울주군 청량읍,울산시 상수도사업본부
S,상수원구간,2101G31,덕동호(댐앞),35.834306,129.31075,경상북도 경주시 천군동,낙동강물환경센터
S,상수원구간,5101G40,탐진호(유치천 합류),34.767497,126.86995,전남광주통합특별시 장흥군 유치면 송정리,영산강물환경센터
S,상수원구간,3203G20,보령호(취수탑),36.245036,126.654111,충청남도 보령시 미산면 용수리,금강물환경센터
S,상수원구간,1006G30,횡성호(취수탑),37.545358,128.030317,강원특별자치도 횡성군 갑천면 대관대리,원주지방환경청
S,상수원구간,1017G20,팔당호(댐앞),37.521597,127.282097,경기도 남양주시 조안면 능내리,한강통합물환경센터
S,상수원구간,1017G21,팔당호(부용사앞),37.526428,127.367633,경기도 양평군 양서면 신원리,한강통합물환경센터
S,상수원구간,1017G22,팔당호(삼봉),37.594225,127.341306,경기도 남양주시 조안면 삼봉리,한강통합물환경센터
S,상수원구간,3008G40,대청호(추동),36.374867,127.492347,대전광역시 동구 용계동,금강물환경센터
S,상수원구간,2022G05,낙동강(물금·매리),35.33525,128.952389,경상남도 김해시 상동면 매리,낙동강물환경센터
S,상수원구간,1011G50,의암호(신연교),37.837556,127.675894,강원특별자치도 춘천시 서면 오월리,한강통합물환경센터
S,상수원구간,2012G56,공산지(취수탑),35.942056,128.649019,대구광역시 동구 지묘동,대구시 상수도사업본부
S,상수원구간,3001G40,용담호(댐앞),35.943667,127.527647,전북특별자치도 진안군 안천면 삼락리,전북지방환경청
S,상수원구간,1003G20,충주호(청풍교),37.015247,128.171211,충청북도 제천시 청풍면 교리,원주지방환경청
S,상수원구간,4007G50,동복호(중류),35.106528,127.109667,전남광주통합특별시 화순군 이서면 보산리,광주시 상수도사업본부
S,상수원구간,1010G50,춘천호(용산취수장),37.947514,127.701947,강원특별자치도 춘천시 서면 오월리,춘천시
S,상수원구간,5101G35,탐진호(댐앞),34.752194,126.881139,전남광주통합특별시 장흥군 유치면 대리,영산강물환경센터
S,상수원구간,4007G70,주암호(댐앞),35.056606,127.240761,전남광주통합특별시 순천시 주암면 대광리,영산강물환경센터
S,상수원구간,2018G30,진양호(판문),35.176622,128.0295,경상남도 진주시 판문동,낙동강유역환경청
S,상수원구간,1018G01,한강(미사대교),37.587417,127.194333,경기도 하남시 선동,서울특별시 서울물연구원
S,상수원구간,2011G56,낙동강(강정·고령),35.847417,128.451694,대구광역시 달성군 다사읍 매곡리,낙동강물환경센터
S,상수원구간,2011G26,낙동강(해평),36.169528,128.387306,경상북도 구미시 해평면 문량리,낙동강물환경센터
S,상수원구간,4002G20,옥정호(칠보발전취수구),35.930581,127.092222,전북특별자치도 정읍시 산내면 장금리,전북지방환경청
C,친수활동구간,1018G07,한강(한남대교),37.526203,127.010106,서울특별시 강남구 신사동,서울특별시 보건환경연구원
C,친수활동구간,1018G09,한강(마포대교),37.533008,126.933211,서울특별시 영등포구 여의도동,서울특별시 보건환경연구원
C,친수활동구간,2009G10,낙동강(상주(친수)),36.362767,128.309478,경상북도 상주시 낙동면 낙동리,경상북도 보건환경연구원
C,친수활동구간,3014G20,금강(부여(친수)),36.122642,126.874567,충청남도 부여군 양화면 암수리,충청남도 보건환경연구원
C,친수활동구간,3014G10,금강(논산(친수)),36.158286,127.008683,충청남도 논산시 강경읍 황산리,충청남도 보건환경연구원
C,친수활동구간,2015G98,합천댐(회양(친수)),35.525506,128.016889,경상남도 합천군 봉산면,경상남도 보건환경연구원
C,친수활동구간,2015G99,합천댐(봉산(친수)),35.454944,128.040861,경상남도 합천군,경상남도 보건환경연구원
C,친수활동구간,1018G08,한강(한강대교),37.515833,126.957689,서울특별시 용산구 이촌동,서울특별시 보건환경연구원
C,친수활동구간,1018G10,한강(성산대교),37.551486,126.892128,서울특별시 영등포구 양화동,서울특별시 보건환경연구원
C,친수활동구간,3009G10,금강(갑천(친수)),36.372036,127.392406,대전광역시 유성구 도룡동,대전광역시 보건환경연구원
C,친수활동구간,2011G10,낙동강(구미(친수)),36.110467,128.39725,경상북도 구미시 임수동,경상북도 보건환경연구원
C,친수활동구간,2022G10,낙동강(삼락(친수)),35.168333,128.965278,부산광역시 사상구 삼락동,부산광역시 보건환경연구원
C,친수활동구간,2022G20,낙동강(화명(친수)),35.220833,128.996667,부산광역시 북구 덕천동,부산광역시 보건환경연구원
C,친수활동구간,1018G06,한강(성수대교),37.537125,127.034197,서울특별시 성동구 옥수동,서울특별시 보건환경연구원
B,조류관찰지점,1007A20,강천보(강천),37.273611,127.685556,경기도 여주시 단현동,한강통합물환경센터
B,조류관찰지점,1007A27,여주보(대신),37.322444,127.61325,경기도 여주시 대신면 천남리,한강통합물환경센터
B,조류관찰지점,1007A60,이포보(이포),37.39925,127.539417,경기도 여주시 대신면 천서리,한강통합물환경센터
B,조류관찰지점,2007A25,상주보(도남),36.434525,128.253806,경상북도 상주시 도남동,낙동강물환경센터
B,조류관찰지점,2009A05,낙단보(낙단),36.361186,128.307911,경상북도 상주시 낙동면 낙동리,낙동강물환경센터
B,조류관찰지점,2009A30,구미보(선산),36.238819,128.343919,경상북도 구미시 선산읍 독동리,낙동강물환경센터
B,조류관찰지점,2011A25,칠곡보(칠곡),36.018556,128.397822,경상북도 칠곡군 석적읍 중지리,낙동강물환경센터
B,조류관찰지점,2011A55,강정고령보(다사),35.842731,128.456936,대구광역시 달성군 다사읍 죽곡리,낙동강물환경센터
B,조류관찰지점,2014A25,달성보(논공),35.735806,128.414022,대구광역시 달성군 논공읍 하리,낙동강물환경센터
B,조류관찰지점,2014A70,합천창녕보(덕곡),35.593367,128.3555,경상남도 합천군 덕곡면 율지리,낙동강물환경센터
B,조류관찰지점,3012A07,세종보(연기),36.478278,127.270639,세종특별자치시  나성동,금강물환경센터
B,조류관찰지점,3012A32,공주보(금강),36.465361,127.100722,충청남도 공주시 우성면 평목리,금강물환경센터
B,조류관찰지점,3012A42,백제보(부여),36.321444,126.943917,충청남도 부여군 부여읍 자왕리,금강물환경센터
B,조류관찰지점,5004A10,승촌보(광산),35.070528,126.776136,전남광주통합특별시 나주시 노안면 학산리,영산강물환경센터
B,조류관찰지점,5004A35,죽산보(죽산),34.976675,126.632778,전남광주통합특별시 나주시 다시면 죽산리,영산강물환경센터
B,조류관찰지점,2020A32,창녕함안보(함안),35.380631,128.548783,경상남도 함안군 칠북면 이령리,낙동강물환경센터
B,조류관찰지점,1012G10,소양호(인제대교),38.040525,128.153575,강원특별자치도 인제군 남면 남전리,원주지방환경청
B,조류관찰지점,1012G20,소양호(38대교),38.019803,128.126464,강원특별자치도 인제군 남면 남전리,원주지방환경청
B,조류관찰지점,1012G30,소양호(양구교),37.994347,128.056417,강원특별자치도 인제군 남면 상수내리,원주지방환경청
D,농어촌저수지,1007D50,성호(설성)(저수지),37.134289,127.533233,경기도 이천시 설성면 장천리,한강통합물환경센터
D,농어촌저수지,2013D70,중화(저수지),35.741917,128.255425,경상북도 고령군 대가야읍 중화리,한강통합물환경센터
D,농어촌저수지,2017D40,송고(저수지),35.538592,128.480414,경상남도 창녕군 창녕읍 직교리,한강통합물환경센터
D,농어촌저수지,2020D65,초동(저수지),35.405856,128.683206,경상남도 밀양시 초동면 신호리,한강통합물환경센터
D,농어촌저수지,3011D35,원남(저수지),36.851764,127.580044,충청북도 진천군 초평면 신통리,한강통합물환경센터
D,농어촌저수지,3202D12,성암(저수지),36.784956,126.532261,충청남도 서산시 음암면 탑곡리,한강통합물환경센터
D,농어촌저수지,3202D24,인평(저수지),36.757978,126.346881,충청남도 태안군 태안읍 인평리,한강통합물환경센터
D,농어촌저수지,4101D46,성산(저수지),34.580264,126.888442,전남광주통합특별시 장흥군 관산읍 성산리,한강통합물환경센터
D,농어촌저수지,5301D21,덕림(저수지),35.389328,126.604667,전북특별자치도 고창군 무장면 덕림리,한강통합물환경센터
