code,name,basin,lat,lon
S01007,평창강,한강,37.2154,128.331
S01018,단양,한강,37.0864,128.484
S01014,충주,한강,37.024,127.952
S01021,달천,한강,36.9276,127.93
S01006,원주,한강,37.42,127.948
S01011,강천,한강,37.242,127.746
S01023,청미천,한강,37.2019,127.719
S01005,여주,한강,37.2544,127.68
S01020,능서,한강,37.328,127.603
S01022,복하천,한강,37.3641,127.54
S01002,흥천,한강,37.39,127.535
S01025,양평,한강,37.507,127.451
S01003,경안천,한강,37.442,127.31
S01019,화천,한강,38.098,127.709
S01010,서상,한강,37.955,127.685
S01015,인제,한강,38.16,128.2
S01012,의암호,한강,37.877,127.678
S01001,가평,한강,37.658,127.379
S01004,구리,한강,37.562,127.115
S01017,포천,한강,38.006,127.235
S01009,한탄강,한강,37.038,127.078
S01013,신천,한강,37.988,127.074
S01016,미산,한강,38.025,127.078
S02018,봉화,낙동강,36.929,129.055
S02023,안동댐하류,낙동강,36.581,128.763
S02011,안동,낙동강,36.551,128.509
S02057,내성천,낙동강,36.585387,128.319474
S02014,풍양,낙동강,36.552,128.297
S02022,회상,낙동강,36.455,128.259
S02020,신암,낙동강,36.405,128.305
S02058,위천,낙동강,36.40609,128.3287
S02021,도개,낙동강,36.273,128.345
S02030,감천,낙동강,36.223,128.335
S02012,해평,낙동강,36.193,128.362
S02019,구미,낙동강,36.084,128.397
S02015,칠곡,낙동강,36.069,128.384
S02003,왜관,낙동강,35.98,128.387
S02009,다산,낙동강,35.849,128.403
S02010,남천,낙동강,35.855,128.707
S02004,강창,낙동강,35.885,128.503
S02001,성서,낙동강,35.819,128.492
S02002,고령,낙동강,35.752,128.492
S02061,청도천,낙동강,35.626894,128.763728
S02060,회천,낙동강,35.686719,128.33525
S02005,적포,낙동강,35.613,128.358
S02013,진주,낙동강,35.241,128.162
S02024,남강,낙동강,35.361,128.413
S02059,의령,낙동강,35.439853,128.377167
S02007,칠서,낙동강,35.388,128.438
S02006,청암,낙동강,35.397,128.521
S02055,밀양,낙동강,35.4113,128.7968
S02008,창암,낙동강,35.378,128.83
S02017,상동,낙동강,35.363,128.904
S02056,양산,낙동강,35.2885,129.0141
S03008,용담호,금강,35.935,127.485
S03012,봉황천,금강,36.107,127.545
S03011,이원,금강,36.239,127.668
S03007,장계,금강,36.376,127.638
S03010,옥천천,금강,36.329,127.565
S03003,대청호,금강,36.43,127.554
S03009,현도,금강,36.46,127.461
S03002,갑천,금강,36.447,127.393
S03006,미호강,금강,36.526,127.321
S03013,남면,금강,36.48,127.269
S03004,공주,금강,36.462,127.14
S03014,유구천,금강,36.467,127.05
S03005,부여,금강,36.336,126.967
S04009,우치,영산강·섬진강,35.245,126.89
S04003,서창교,영산강·섬진강,35.11,126.821
S04012,지석천,영산강·섬진강,35.05,126.779
S04005,용봉,영산강·섬진강,35.072,126.775
S04002,나주,영산강·섬진강,34.975,126.633
S04004,옥정호,영산강·섬진강,35.608,127.106
S04008,동복호,영산강·섬진강,35.092,127.093
S04001,주암호,영산강·섬진강,35.011,127.235
S04006,구례,영산강·섬진강,35.188,127.544
S04007,탐진호,영산강·섬진강,34.782,126.881
